,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
37,query_VENDOR_PERFORMANCE_ANALYSIS.total_amount,VENDOR_PERFORMANCE_ANALYSIS.total_amount,,file_4,0,1,48.0,49,total_amount,total_amount,aliceblue
38,product_summary.product_name,query_VENDOR_PERFORMANCE_ANALYSIS.product_name,,file_4,0,1,,48,product_name,product_name,aliceblue
39,query_VENDOR_PERFORMANCE_ANALYSIS.product_name,VENDOR_PERFORMANCE_ANALYSIS.product_name,,file_4,0,1,48.0,49,product_name,product_name,aliceblue
40,product_summary.category_name,query_VENDOR_PERFORMANCE_ANALYSIS.category_name,,file_4,0,1,,48,category_name,category_name,aliceblue
41,query_VENDOR_PERFORMANCE_ANALYSIS.category_name,VENDOR_PERFORMANCE_ANALYSIS.category_name,,file_4,0,1,48.0,49,category_name,category_name,aliceblue
42,product_summary.unit_price,query_VENDOR_PERFORMANCE_ANALYSIS.unit_price,,file_4,0,1,,48,unit_price,unit_price,aliceblue
43,query_VENDOR_PERFORMANCE_ANALYSIS.unit_price,VENDOR_PERFORMANCE_ANALYSIS.unit_price,,file_4,0,1,48.0,49,unit_price,unit_price,aliceblue
44,product_summary.quantity_delivered,query_VENDOR_PERFORMANCE_ANALYSIS.quantity_delivered,,file_4,0,1,,48,quantity_delivered,quantity_delivered,aliceblue
45,query_VENDOR_PERFORMANCE_ANALYSIS.quantity_delivered,VENDOR_PERFORMANCE_ANALYSIS.quantity_delivered,,file_4,0,1,48.0,49,quantity_delivered,quantity_delivered,aliceblue
46,avg_product_rating.avg_rating,query_VENDOR_PERFORMANCE_ANALYSIS.avg_rating,,file_4,0,1,,48,avg_rating,avg_rating,aliceblue
47,query_VENDOR_PERFORMANCE_ANALYSIS.['avg_rating'],VENDOR_PERFORMANCE_ANALYSIS.avg_product_rating,TYPE_CONVERSION(avg_rating),file_4,0,1,48.0,49,['avg_rating'],avg_product_rating,orangered
48,total_spent.total_spent,query_VENDOR_PERFORMANCE_ANALYSIS.total_spent,,file_4,0,1,,48,total_spent,total_spent,aliceblue
49,query_VENDOR_PERFORMANCE_ANALYSIS.['total_spent'],VENDOR_PERFORMANCE_ANALYSIS.total_spent,TYPE_CONVERSION(total_spent),file_4,0,1,48.0,49,['total_spent'],total_spent,orangered
